822
15
87
557,398
29,374
29,613
712,224
407,541
64,151
455,371
506,729
448,174
199,52
89,244
73,387
643,436
736,796
104,360
35,326
371,44
348,273
71,348
505,414
379,701
235,19
428,381
518,210
791,451
757,714
409,297
293,788
538,666
344,567
104,695
93,513
695,523
295,317
318,381
384,580
136,66
140,403
793,193
623,261
729,111
775,633
463,783
651,135
592,277
380,610
172,111
395,288
407,419
131,65
629,631
646,509
340,464
263,410
253,677
143,29
314,666
795,150
541,82
620,4
635,326
230,373
557,120
769,501
628,381
691,68
256,309
709,694
358,800
275,68
414,617
409,280
663,614
582,498
797,59
209,374
425,37
322,819
546,574
805,692
796,474
403,84
529,693
8,609
344,724
578,121
123,112
32,700
369,642
788,101
86,362
704,490
522,377
701,521
322,471
330,106
584,28
738,172
703,329
141,534
780,201
469,113
573,49
565,818
70,222
798,78
627,54
290,155
46,663
172,654
229,556
290,182
383,792
612,384
730,422
500,464
570,120
